datetime_ist,datetime_utc,predicted_height_m
2024-06-25 03:00:00,2024-06-24 21:30:00,3.745489332473739
2024-06-25 04:00:00,2024-06-24 22:30:00,2.9449410590625353
2024-06-25 05:00:00,2024-06-24 23:30:00,2.3186201432673457
2024-06-25 06:00:00,2024-06-25 00:30:00,1.7841100758161827
2024-06-25 07:00:00,2024-06-25 01:30:00,1.4284853917988252
2024-06-25 08:00:00,2024-06-25 02:30:00,1.6131112307673952
2024-06-25 09:00:00,2024-06-25 03:30:00,2.6249243011959313
2024-06-25 10:00:00,2024-06-25 04:30:00,4.142806529929921
2024-06-25 11:00:00,2024-06-25 05:30:00,5.4022270208015835
2024-06-25 12:00:00,2024-06-25 06:30:00,5.97392557350984
2024-06-25 13:00:00,2024-06-25 07:30:00,5.9071553075204335
2024-06-25 14:00:00,2024-06-25 08:30:00,5.316275248951769
2024-06-25 15:00:00,2024-06-25 09:30:00,4.39821587983209
2024-06-25 16:00:00,2024-06-25 10:30:00,3.505305634073604
2024-06-25 17:00:00,2024-06-25 11:30:00,2.8128795140971032
2024-06-25 18:00:00,2024-06-25 12:30:00,2.232454925211756
2024-06-25 19:00:00,2024-06-25 13:30:00,1.7283646842285276
2024-06-25 20:00:00,2024-06-25 14:30:00,1.530509162703844
2024-06-25 21:00:00,2024-06-25 15:30:00,2.006722441166893
2024-06-25 22:00:00,2024-06-25 16:30:00,3.178176984161419
2024-06-25 23:00:00,2024-06-25 17:30:00,4.468821407479462
2024-06-26 00:00:00,2024-06-25 18:30:00,5.2722156841988275
2024-06-26 01:00:00,2024-06-25 19:30:00,5.464204219497662
2024-06-26 02:00:00,2024-06-25 20:30:00,5.132006885221864
2024-06-26 03:00:00,2024-06-25 21:30:00,4.381390579202458
2024-06-26 04:00:00,2024-06-25 22:30:00,3.5028596821622693
2024-06-26 05:00:00,2024-06-25 23:30:00,2.7780561128469268
2024-06-26 06:00:00,2024-06-26 00:30:00,2.21035734347359
2024-06-26 07:00:00,2024-06-26 01:30:00,1.7410649739737987
2024-06-26 08:00:00,2024-06-26 02:30:00,1.5387906645936018
2024-06-26 09:00:00,2024-06-26 03:30:00,1.9439567859182907
2024-06-26 10:00:00,2024-06-26 04:30:00,3.0779586691012577
2024-06-26 11:00:00,2024-06-26 05:30:00,4.494744492331203
2024-06-26 12:00:00,2024-06-26 06:30:00,5.521990353765377
2024-06-26 13:00:00,2024-06-26 07:30:00,5.897528463155833
2024-06-26 14:00:00,2024-06-26 08:30:00,5.701327308630047
2024-06-26 15:00:00,2024-06-26 09:30:00,5.029099426516287
2024-06-26 16:00:00,2024-06-26 10:30:00,4.1164503910025525
2024-06-26 17:00:00,2024-06-26 11:30:00,3.2968192337133075
2024-06-26 18:00:00,2024-06-26 12:30:00,2.652285780371451
2024-06-26 19:00:00,2024-06-26 13:30:00,2.083335179361928
2024-06-26 20:00:00,2024-06-26 14:30:00,1.6444098764342965
2024-06-26 21:00:00,2024-06-26 15:30:00,1.6129584553219671
2024-06-26 22:00:00,2024-06-26 16:30:00,2.265524964284277
2024-06-26 23:00:00,2024-06-26 17:30:00,3.4713229380881234
2024-06-27 00:00:00,2024-06-26 18:30:00,4.635321835954946
2024-06-27 01:00:00,2024-06-26 19:30:00,5.28206905748323
2024-06-27 02:00:00,2024-06-26 20:30:00,5.36544843739615
2024-06-27 03:00:00,2024-06-26 21:30:00,4.957924552925575
2024-06-27 04:00:00,2024-06-26 22:30:00,4.190139829870949
2024-06-27 05:00:00,2024-06-26 23:30:00,3.372992299940215
2024-06-27 06:00:00,2024-06-27 00:30:00,2.71805945987051
2024-06-27 07:00:00,2024-06-27 01:30:00,2.188721626213227
2024-06-27 08:00:00,2024-06-27 02:30:00,1.7926246115688862
2024-06-27 09:00:00,2024-06-27 03:30:00,1.739482818515342
2024-06-27 10:00:00,2024-06-27 04:30:00,2.2811106111310777
2024-06-27 11:00:00,2024-06-27 05:30:00,3.401561899890213
2024-06-27 12:00:00,2024-06-27 06:30:00,4.641925039336219
2024-06-27 13:00:00,2024-06-27 07:30:00,5.470182651342247
2024-06-27 14:00:00,2024-06-27 08:30:00,5.726265815691399
2024-06-27 15:00:00,2024-06-27 09:30:00,5.4658877861246475
2024-06-27 16:00:00,2024-06-27 10:30:00,4.776984532018702
2024-06-27 17:00:00,2024-06-27 11:30:00,3.9208516189497766
2024-06-27 18:00:00,2024-06-27 12:30:00,3.1681275810133176
2024-06-27 19:00:00,2024-06-27 13:30:00,2.5306572404953194
2024-06-27 20:00:00,2024-06-27 14:30:00,1.9681935118497433
2024-06-27 21:00:00,2024-06-27 15:30:00,1.6244994079672208
2024-06-27 22:00:00,2024-06-27 16:30:00,1.7484984750811599
2024-06-27 23:00:00,2024-06-27 17:30:00,2.4929206621067754
2024-06-28 00:00:00,2024-06-27 18:30:00,3.645101398901414
2024-06-28 01:00:00,2024-06-27 19:30:00,4.67233324143137
2024-06-28 02:00:00,2024-06-27 20:30:00,5.218586406963178
2024-06-28 03:00:00,2024-06-27 21:30:00,5.258149271347496
2024-06-28 04:00:00,2024-06-27 22:30:00,4.837032168743521
2024-06-28 05:00:00,2024-06-27 23:30:00,4.109897897646906
2024-06-28 06:00:00,2024-06-28 00:30:00,3.3720756307023163
2024-06-28 07:00:00,2024-06-28 01:30:00,2.761442087493078
2024-06-28 08:00:00,2024-06-28 02:30:00,2.2512958001024472
2024-06-28 09:00:00,2024-06-28 03:30:00,1.9223540078746464
2024-06-28 10:00:00,2024-06-28 04:30:00,1.9658928435968845
2024-06-28 11:00:00,2024-06-28 05:30:00,2.5275618274372187
2024-06-28 12:00:00,2024-06-28 06:30:00,3.5330421203003377
2024-06-28 13:00:00,2024-06-28 07:30:00,4.591005066325154
2024-06-28 14:00:00,2024-06-28 08:30:00,5.289820644952375
2024-06-28 15:00:00,2024-06-28 09:30:00,5.500797649495888
2024-06-28 16:00:00,2024-06-28 10:30:00,5.239557141666173
2024-06-28 17:00:00,2024-06-28 11:30:00,4.59630421373167
2024-06-28 18:00:00,2024-06-28 12:30:00,3.8217853371095494
2024-06-28 19:00:00,2024-06-28 13:30:00,3.1058654180111804
2024-06-28 20:00:00,2024-06-28 14:30:00,2.451778974207457
2024-06-28 21:00:00,2024-06-28 15:30:00,1.9195368507437482
2024-06-28 22:00:00,2024-06-28 16:30:00,1.6837941714673716
2024-06-28 23:00:00,2024-06-28 17:30:00,1.9013326807910158
